player: near (0) / far (1)	time of contact	time of bounce	forehand (0) / backhand (1)	long (0) / short (1)	notServe (0) / isServe (1)
0	0:02	0:03	0	0	1
1	0:03	0:05	1	0	0
0	0:05	0:06	0	0	0
1	0:13	0:14	0	0	1
0	0:14	0:15	1	0	0
1	0:15	0:16	1	0	0
0	0:16	0:18	0	0	0
1	0:19	0:20	0	0	0
0	0:20	0:22	1	0	0
1	0:22	0:23	0	0	0
0	0:30	0:31	0	0	1
1	0:31	0:32	1	0	0
0	0:32	0:33	0	0	0
0	0:46	0:47	0	0	1
1	0:47	0:48	1	0	0
0	0:49	0:49	0	0	0
1	0:50	0:51	0	0	0
0	0:51	0:52	0	0	0
1	0:52	0:52	1	1	0
0	0:53	0:54	1	1	0
0	1:11	1:11	0	0	1
1	1:12	1:13	1	0	0
0	1:13	1:14	0	0	0
1	1:14	1:16	0	1	0
0	1:16	1:17	1	0	0
1	1:35	1:35	0	0	1
0	1:36	1:37	1	0	0
1	1:37	1:38	0	0	0
1	1:44	1:44	0	0	1
0	1:45	1:46	1	1	0
1	1:46	1:47	0	0	0
1	2:02	2:03	0	0	1
0	2:03	2:04	1	0	0
1	2:19	2:19	0	0	1
0	2:19	2:20	1	0	0
1	2:21	2:22	0	0	0
0	2:22	2:23	1	0	0
1	2:23	2:24	0	0	0
0	2:24	2:25	0	0	0
