player: near (0) / far (1)	time of contact	time of bounce	forehand (0) / backhand (1)	long (0) / short (1)	notServe (0) / isServe (1)
0	0:03	0:03	0	0	1
1	0:04	0:05	1	0	0
0	0:05	0:06	0	0	0
1	0:07	0:08	1	0	0
0	0:08	0:09	0	1	0
0	0:15	0:16	0	0	1
1	0:17	0:18	0	1	0
0	0:18	0:19	0	0	0
1	0:20	0:20	0	0	0
0	0:21	0:22	1	0	0
1	0:22	0:23	0	0	0
0	0:33	0:33	0	0	1
1	0:34	0:35	1	1	0
0	0:36	0:37	0	1	0
0	0:42	0:42	0	0	1
1	0:43	0:44	0	0	0
0	0:44	0:45	0	0	0
0	0:58	0:59	0	0	1
0	1:07	1:07	0	0	1
1	1:08	1:09	0	0	0
0	1:10	1:11	0	0	0
1	1:11	1:12	1	0	0
0	1:12	1:14	1	0	0
1	1:14	1:15	0	0	0
0	1:15	1:17	1	1	0
1	1:17	1:18	0	0	0
0	1:35	1:35	0	0	1
1	1:36	1:37	0	1	0
0	1:38	1:38	0	0	0
0	1:47	1:47	0	0	1
1	1:48	1:49	1	1	0
0	1:49	1:51	0	1	0
1	2:07	2:07	0	0	1
0	2:08	2:09	0	0	0
1	2:10	2:10	1	0	0
0	2:11	2:12	0	0	0
1	2:12	2:13	0	0	0
0	2:13	2:14	1	0	0
1	2:15	2:15	0	0	0
0	2:16	2:17	1	0	0
1	2:18	2:18	0	0	0
0	2:19	2:20	0	0	0
1	2:21	2:21	0	0	0
1	3:11	3:12	0	1	0
0	3:32	3:33	1	1	0
1	3:34	3:35	1	1	0
0	4:19	4:20	0	1	0
1	5:42	5:43	1	1	0
1	6:24	6:25	1	1	0
0	6:26	6:27	0	1	0
0	6:54	6:55	0	1	0
1	7:04	7:04	0	1	0
0	7:52	7:54	1	1	0
0	8:10	8:11	0	1	0
0	9:15	9:16	0	1	0
1	9:35	9:37	1	1	0
1	10:07	10:09	1	1	0
0	12:36	12:38	0	1	0
1	12:38	12:40	1	1	0
1	13:09	13:11	1	1	0
1	13:28	13:29	1	1	0
1	14:31	14:32	0	1	0
0	14:43	14:44	1	1	0
1	14:46	14:47	1	1	0
1	16:04	16:05	1	1	0
1	16:48	16:50	0	1	0
0	18:02	18:04	0	1	0
0	18:23	18:25	1	1	0
