player: near (0) / far (1)	time of contact	time of bounce	forehand (0) / backhand (1)	long (0) / short (1)	notServe (0) / isServe (1)
1	0:03	0:03	0	0	1
0	0:04	0:05	0	0	0
1	0:05	0:05	0	0	0
0	0:06	0:07	0	0	0
1	0:08	0:09	0	0	0
0	0:09	0:10	1	0	0
1	0:11	0:12	1	0	0
0	0:12	0:13	1	0	0
1	0:13	0:14	1	0	0
0	0:15	0:16	0	0	0
1	0:17	0:18	1	0	0
0	0:18	0:19	0	0	0
1	0:27	0:27	0	0	1
1	0:37	0:37	0	0	1
1	0:46	0:46	0	0	1
0	0:53	0:54	0	0	1
0	1:10	1:11	1	1	0
0	1:29	1:29	0	0	1
1	1:36	1:37	1	1	0
0	1:39	1:40	1	1	0
0	1:47	1:47	0	0	1
0	2:03	2:03	0	0	1
0	2:05	2:06	1	1	0
0	2:15	2:15	0	0	1
0	2:28	2:28	0	0	1
1	2:29	2:31	0	1	0
0	2:32	2:32	0	0	0
1	2:41	2:41	0	0	1
0	2:57	2:59	1	1	0
1	3:14	3:14	0	0	1
1	3:16	3:16	0	0	0
0	3:17	3:18	0	0	0
1	3:18	3:19	0	0	0
1	3:35	3:35	0	0	1
0	3:36	3:37	0	1	0
0	3:39	3:41	1	1	0
1	3:50	3:50	0	0	1
0	3:51	3:52	1	1	0
1	3:53	3:54	0	0	0
